"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"102822-NODE/10293356480","","Boutique Bleue","","5.354512","-3.96253","","","0","","","0","",""
"102822-NODE/10293356481","","Maison Blanche","","5.336937","-3.953691","","","0","","","0","",""
"102822-NODE/10293356482","","Banny","","5.334142","-3.956125","","","0","","","0","",""
"102822-NODE/10293356483","","Carrefour Pinasse","","5.326354","-3.959324","","","0","","","0","",""
"102822-NODE/10293356484","","Terminus Stl","","5.325109","-3.960011","","","0","","","0","",""
"102822-NODE/10293372511","","Terminus Stl","","5.325154","-3.960094","","","0","","","0","",""
"102822-NODE/10293372513","","Carrefour Pinasse","","5.326462","-3.959399","","","0","","","0","",""
"102822-NODE/10293372514","","Carrefour Affi","","5.338644","-3.952427","","","0","","","0","",""
"102822-NODE/10293372515","","Brandon","","5.341701","-3.952452","","","0","","","0","",""
"102822-NODE/10293470011","","Carrefour Martin","","5.332443","-3.936563","","","0","","","0","",""
"102822-NODE/10293470012","","A la foire","","5.333327","-3.937399","","","0","","","0","",""
"102822-NODE/10293470013","","Carrefour Université","","5.334383","-3.938384","","","0","","","0","",""
"102822-NODE/10293470014","","Carrefour Valinbet","","5.336659","-3.940506","","","0","","","0","",""
"102822-NODE/10293470015","","Carrefour Akwaba","","5.33773","-3.941675","","","0","","","0","",""
"102822-NODE/10293470017","","Gare 9 Kilo","","5.356923","-3.962969","","","0","","","0","",""
"102822-NODE/10293476051","","Gare 9 Kilo","","5.356527","-3.962884","","","0","","","0","",""
"102822-NODE/10293476052","","Mel Théodore","","5.345892","-3.952401","","","0","","","0","",""
"102822-NODE/10293476053","","Carrefour Akouédo / Synacassi 2","","5.346107","-3.945638","","","0","","","0","",""
